Great Battles of World War Two: Volume II – Drop Zone,3,8.666667
Wayne's World VCR Board Game,3,8.666667
Victory By Any Means: The Menagerie,3,8.666667
Assassin's Creed: Brotherhood of Venice,32,8.665625
Godtear,43,8.665116
Bigfoot vs. Yeti,13,8.661538
Time of Legends: Joan of Arc,51,8.654902
Brass: Birmingham,67,8.654527
Planet Apocalypse,42,8.653333
Replay Basketball,18,8.651111
"Raiders of the Deep: U-boats of the Great War, 1914-18",32,8.628125
Dwellings of Eldervale,20,8.625000
The Polish Never Quit!,4,8.625000
The Edge: Dawnfall,64,8.623437
Dien Bien Phu: The Final Gamble,62,8.619355
Goodwill,5,8.618000
Gladius,17,8.617647
Dungeon Twister: Créatures Sylvestres,17,8.617647
Addictive Alchemy,13,8.615385
Book It!: The Pro Wrestling Promoter Card Game,18,8.605556
Beyond Valor: ASL Module 1,59,8.605085
Hybrid Expansion 1: Nemesis,24,8.604167
Great War Commander,66,8.600633
Gruff: Stuff of Nightmares,35,8.600000
Drachensachen,4,8.600000
Wargames Rules 1950-2000: Wargames Rules for All Arms Land Warfare From Platoon to Battalion Level,5,8.600000
The Suits: Season 3,5,8.600000
Surrounding Nobunaga,5,8.600000
Animagicians,5,8.600000
Dai Shogi,5,8.600000
DeathMatch Asylum,5,8.600000
"DAK2: The Campaign in North Africa, 1940-1942",66,8.593939
Intelle,22,8.592927
Escape: Fighting for Freedom,11,8.590909
Napoleon's Resurgence,11,8.590909
For King and Country: ASL module 5a,55,8.590909
Stonewall Jackson's Way II: Battles of Bull Run,49,8.589796
Conflict of Heroes: Storms of Steel – Kursk 1943 (Third Edition),41,8.589024
Mythic Battles: Pantheon,68,8.584559
Meeple Quest,12,8.583333
Infinity: Operation Icestorm,16,8.581250
On Mars,55,8.578000
Parley,12,8.575000
Red Barricades: ASL Historical Module 1,69,8.573913
"Stalingrad '42: Southern Russia, June-December, 1942",39,8.571795
Polyssimo Challenge,7,8.571429
The von Reisswitz Kriegsspiel: The Prussian Army Wargame,14,8.571429
Jagged Alliance: The Board Game,47,8.571277
Melee & Wizard,14,8.564286
Pandemic Legacy: Season 1,78,8.563333
World at War: The Untold Stories,37,8.558108
Code of Bushido: ASL Module 8,58,8.556897
Burrows and Badgers: A Skirmish Game of Anthropomorphic Animals,9,8.555556
7TV,9,8.555556
Nemesis,76,8.551998
Federation Commander: Boosters,44,8.550000
Mégawatts,47,8.548936
Pax Pamir (Second Edition),68,8.547941
